sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,European,max_ancestry,assigned_group
HG00096,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00097,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00099,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00100,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00101,GBR,European,kg,,European,yes,yes,0.000218,1e-05,0.999772,0.999772,European
HG00102,GBR,European,kg,,European,yes,yes,1e-05,0.006727,0.993263,0.993263,European
HG00103,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00105,GBR,European,kg,,European,yes,yes,1e-05,0.001917,0.998073,0.998073,European
HG00106,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00107,GBR,European,kg,,European,yes,yes,1e-05,0.007676,0.992314,0.992314,European
HG00108,GBR,European,kg,,European,yes,yes,1e-05,0.001344,0.998646,0.998646,European
HG00109,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00110,GBR,European,kg,,European,yes,yes,1e-05,0.003079,0.996911,0.996911,European
HG00111,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00112,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00113,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00114,GBR,European,kg,,European,yes,yes,1e-05,0.001617,0.998373,0.998373,European
HG00115,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00116,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00117,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00118,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG00119,GBR,European,kg,,European,yes,yes,1e-05,0.002924,0.997066,0.997066,European
HG00120,GBR,European,kg,,European,yes,no,,,,,
