sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,South Asian,max_ancestry,assigned_group
HG00096,GBR,European,kg,,European,yes,yes,1e-05,0.005933,1e-05,0.994037,1e-05,0.994037,European
HG00097,GBR,European,kg,,European,yes,yes,1e-05,0.018424,1e-05,0.979847,0.00171,0.979847,European
HG00099,GBR,European,kg,,European,yes,yes,1e-05,0.016973,1e-05,0.982997,1e-05,0.982997,European
HG00100,GBR,European,kg,,European,yes,yes,1e-05,0.023134,1e-05,0.976836,1e-05,0.976836,European
HG00101,GBR,European,kg,,European,yes,yes,1e-05,0.016426,1e-05,0.983544,1e-05,0.983544,European
HG00102,GBR,European,kg,,European,yes,yes,1e-05,0.016899,1e-05,0.97375,0.009331,0.97375,European
HG00103,GBR,European,kg,,European,yes,yes,1e-05,0.020089,1e-05,0.979881,1e-05,0.979881,European
HG00105,GBR,European,kg,,European,yes,yes,1e-05,0.018452,1e-05,0.977558,0.00397,0.977558,European
HG00106,GBR,European,kg,,European,yes,yes,1e-05,0.018684,1e-05,0.967538,0.013758,0.967538,European
HG00107,GBR,European,kg,,European,yes,yes,1e-05,0.025578,1e-05,0.974392,1e-05,0.974392,European
HG00108,GBR,European,kg,,European,yes,yes,1e-05,0.019379,1e-05,0.980591,1e-05,0.980591,European
HG00109,GBR,European,kg,,European,yes,yes,1e-05,0.00318,1e-05,0.99679,1e-05,0.99679,European
HG00110,GBR,European,kg,,European,yes,yes,1e-05,0.019154,1e-05,0.980816,1e-05,0.980816,European
HG00111,GBR,European,kg,,European,yes,yes,1e-05,0.017889,1e-05,0.978158,0.003933,0.978158,European
HG00112,GBR,European,kg,,European,yes,yes,1e-05,0.013723,1e-05,0.98196,0.004297,0.98196,European
HG00113,GBR,European,kg,,European,yes,yes,1e-05,0.013751,1e-05,0.986219,1e-05,0.986219,European
HG00114,GBR,European,kg,,European,yes,yes,1e-05,0.01374,1e-05,0.979339,0.0069,0.979339,European
HG00115,GBR,European,kg,,European,yes,yes,1e-05,0.013595,1e-05,0.986375,1e-05,0.986375,European
HG00116,GBR,European,kg,,European,yes,yes,1e-05,0.012446,1e-05,0.987524,1e-05,0.987524,European
HG00117,GBR,European,kg,,European,yes,yes,1e-05,0.014432,1e-05,0.985538,1e-05,0.985538,European
HG00118,GBR,European,kg,,European,yes,yes,1e-05,0.02181,1e-05,0.97816,1e-05,0.97816,European
HG00119,GBR,European,kg,,European,yes,yes,1e-05,0.019516,1e-05,0.980454,1e-05,0.980454,European
HG00120,GBR,European,kg,,European,yes,no,,,,,,,
HG00121,GBR,European,kg,,European,yes,yes,1e-05,0.016777,1e-05,0.983193,1e-05,0.983193,European
HG00122,GBR,European,kg,,European,yes,yes,1e-05,0.019877,1e-05,0.977982,0.00212,0.977982,European
HG00123,GBR,European,kg,,European,yes,yes,1e-05,0.008311,1e-05,0.987701,0.003967,0.987701,European
HG00125,GBR,European,kg,,European,yes,yes,1e-05,0.028069,1e-05,0.971901,1e-05,0.971901,European
HG00126,GBR,European,kg,,European,yes,yes,1e-05,0.00988,1e-05,0.99009,1e-05,0.99009,European
HG00127,GBR,European,kg,,European,yes,yes,1e-05,0.00905,1e-05,0.99092,1e-05,0.99092,European
HG00128,GBR,European,kg,,European,yes,yes,1e-05,0.00339,1e-05,0.986211,0.010379,0.986211,European
HG00129,GBR,European,kg,,European,yes,yes,1e-05,0.017543,1e-05,0.982427,1e-05,0.982427,European
HG00130,GBR,European,kg,,European,yes,yes,1e-05,0.008492,1e-05,0.990012,0.001476,0.990012,European
HG00131,GBR,European,kg,,European,yes,yes,1e-05,0.013754,1e-05,0.986216,1e-05,0.986216,European
HG00132,GBR,European,kg,,European,yes,yes,1e-05,0.00292,1e-05,0.990491,0.006569,0.990491,European
HG00133,GBR,European,kg,,European,yes,yes,1e-05,0.00517,1e-05,0.9948,1e-05,0.9948,European
HG00136,GBR,European,kg,,European,yes,yes,1e-05,0.013937,0.004421,0.981621,1e-05,0.981621,European
HG00137,GBR,European,kg,,European,yes,yes,1e-05,0.010055,1e-05,0.989915,1e-05,0.989915,European
HG00138,GBR,European,kg,,European,yes,yes,0.001128,0.005597,1e-05,0.993255,1e-05,0.993255,European
HG00139,GBR,European,kg,,European,yes,yes,1e-05,0.012334,1e-05,0.987636,1e-05,0.987636,European
HG00140,GBR,European,kg,,European,yes,yes,1e-05,0.014951,1e-05,0.984472,0.000557,0.984472,European
HG00141,GBR,European,kg,,European,yes,yes,1e-05,0.021256,0.000848,0.977876,1e-05,0.977876,European
HG00142,GBR,European,kg,,European,yes,yes,1e-05,0.001529,0.007202,0.989941,0.001318,0.989941,European
HG00143,GBR,European,kg,,European,yes,yes,1e-05,0.013568,1e-05,0.986402,1e-05,0.986402,European
HG00145,GBR,European,kg,,European,yes,yes,1e-05,0.018134,1e-05,0.976595,0.005252,0.976595,European
HG00146,GBR,European,kg,,European,yes,yes,1e-05,0.01569,1e-05,0.98428,1e-05,0.98428,European
HG00148,GBR,European,kg,,European,yes,yes,1e-05,0.012597,1e-05,0.987294,8.9e-05,0.987294,European
HG00149,GBR,European,kg,,European,yes,yes,1e-05,0.005307,1e-05,0.994663,1e-05,0.994663,European
HG00150,GBR,European,kg,,European,yes,yes,1e-05,0.017869,1e-05,0.982101,1e-05,0.982101,European
HG00151,GBR,European,kg,,European,yes,yes,1e-05,0.019051,1e-05,0.980919,1e-05,0.980919,European
HG00154,GBR,European,kg,,European,yes,yes,1e-05,0.011342,1e-05,0.988628,1e-05,0.988628,European
HG00155,GBR,European,kg,,European,yes,yes,1e-05,0.02313,1e-05,0.97684,1e-05,0.97684,European
HG00157,GBR,European,kg,,European,yes,yes,1e-05,0.004186,1e-05,0.995784,1e-05,0.995784,European
HG00158,GBR,European,kg,,European,yes,yes,1e-05,0.025394,1e-05,0.974576,1e-05,0.974576,European
HG00159,GBR,European,kg,,European,yes,yes,1e-05,0.014547,1e-05,0.985423,1e-05,0.985423,European
HG00160,GBR,European,kg,,European,yes,yes,1e-05,0.012601,1e-05,0.987369,1e-05,0.987369,European
HG00171,FIN,European,kg,,European,yes,yes,1e-05,0.06073,0.04785,0.891401,1e-05,0.891401,European
HG00173,FIN,European,kg,,European,yes,yes,1e-05,0.048206,0.040693,0.911082,1e-05,0.911082,European
HG00174,FIN,European,kg,,European,yes,yes,1e-05,0.03683,0.022327,0.940823,1e-05,0.940823,European
HG00176,FIN,European,kg,,European,yes,yes,1e-05,0.046468,0.051823,0.90169,1e-05,0.90169,European
HG00177,FIN,European,kg,,European,yes,yes,1e-05,0.052704,0.058074,0.889202,1e-05,0.889202,European
HG00178,FIN,European,kg,,European,yes,yes,1e-05,0.033396,0.060128,0.906456,1e-05,0.906456,European
HG00179,FIN,European,kg,,European,yes,yes,1e-05,0.04965,0.042757,0.907573,1e-05,0.907573,European
HG00180,FIN,European,kg,,European,yes,yes,1e-05,0.045104,0.056576,0.8983,1e-05,0.8983,European
