sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,Oceanian,South Asian,max_ancestry,assigned_group
HG00096,GBR,European,kg,,European,yes,yes,1e-05,0.006027,1e-05,0.993933,1e-05,1e-05,0.993933,European
HG00097,GBR,European,kg,,European,yes,yes,1e-05,0.018239,1e-05,0.97953,0.001701,0.00051,0.97953,European
HG00099,GBR,European,kg,,European,yes,yes,1e-05,0.017058,1e-05,0.982902,1e-05,1e-05,0.982902,European
HG00100,GBR,European,kg,,European,yes,yes,1e-05,0.023233,1e-05,0.976727,1e-05,1e-05,0.976727,European
HG00101,GBR,European,kg,,European,yes,yes,1e-05,0.01651,1e-05,0.98345,1e-05,1e-05,0.98345,European
HG00102,GBR,European,kg,,European,yes,yes,1e-05,0.016905,1e-05,0.97314,1e-05,0.009925,0.97314,European
HG00103,GBR,European,kg,,European,yes,yes,1e-05,0.019327,1e-05,0.97796,0.002683,1e-05,0.97796,European
HG00105,GBR,European,kg,,European,yes,yes,1e-05,0.018366,1e-05,0.976677,1e-05,0.004928,0.976677,European
HG00106,GBR,European,kg,,European,yes,yes,1e-05,0.018508,1e-05,0.966125,1e-05,0.015337,0.966125,European
HG00107,GBR,European,kg,,European,yes,yes,1e-05,0.025495,1e-05,0.973694,0.000482,0.000309,0.973694,European
HG00108,GBR,European,kg,,European,yes,yes,1e-05,0.019475,1e-05,0.980485,1e-05,1e-05,0.980485,European
HG00109,GBR,European,kg,,European,yes,yes,1e-05,0.003342,1e-05,0.996618,1e-05,1e-05,0.996618,European
HG00110,GBR,European,kg,,European,yes,yes,1e-05,0.018967,1e-05,0.979907,0.001096,1e-05,0.979907,European
HG00111,GBR,European,kg,,European,yes,yes,1e-05,0.017832,1e-05,0.977466,1e-05,0.004673,0.977466,European
HG00112,GBR,European,kg,,European,yes,yes,1e-05,0.013518,1e-05,0.982033,0.002058,0.002371,0.982033,European
HG00113,GBR,European,kg,,European,yes,yes,1e-05,0.013646,1e-05,0.985209,1e-05,0.001115,0.985209,European
HG00114,GBR,European,kg,,European,yes,yes,1e-05,0.013551,1e-05,0.97873,0.000925,0.006774,0.97873,European
HG00115,GBR,European,kg,,European,yes,yes,1e-05,0.013698,1e-05,0.986262,1e-05,1e-05,0.986262,European
HG00116,GBR,European,kg,,European,yes,yes,1e-05,0.012595,1e-05,0.987365,1e-05,1e-05,0.987365,European
HG00117,GBR,European,kg,,European,yes,yes,1e-05,0.014567,1e-05,0.985393,1e-05,1e-05,0.985393,European
HG00118,GBR,European,kg,,European,yes,yes,1e-05,0.021455,1e-05,0.97726,0.001255,1e-05,0.97726,European
HG00119,GBR,European,kg,,European,yes,yes,1e-05,0.019477,1e-05,0.979934,0.000559,1e-05,0.979934,European
HG00120,GBR,European,kg,,European,yes,no,,,,,,,,
HG00121,GBR,European,kg,,European,yes,yes,1e-05,0.016894,1e-05,0.983066,1e-05,1e-05,0.983066,European
HG00122,GBR,European,kg,,European,yes,yes,1e-05,0.0198,1e-05,0.977481,0.000744,0.001954,0.977481,European
HG00123,GBR,European,kg,,European,yes,yes,1e-05,0.008102,1e-05,0.986092,1e-05,0.005776,0.986092,European
HG00125,GBR,European,kg,,European,yes,yes,1e-05,0.028167,1e-05,0.971793,1e-05,1e-05,0.971793,European
HG00126,GBR,European,kg,,European,yes,yes,1e-05,0.009972,1e-05,0.989988,1e-05,1e-05,0.989988,European
HG00127,GBR,European,kg,,European,yes,yes,1e-05,0.008043,1e-05,0.988181,0.003746,1e-05,0.988181,European
HG00128,GBR,European,kg,,European,yes,yes,1e-05,0.003044,1e-05,0.985761,0.003697,0.007478,0.985761,European
HG00129,GBR,European,kg,,European,yes,yes,1e-05,0.017658,1e-05,0.982302,1e-05,1e-05,0.982302,European
HG00130,GBR,European,kg,,European,yes,yes,1e-05,0.007007,1e-05,0.986662,0.006301,1e-05,0.986662,European
HG00131,GBR,European,kg,,European,yes,yes,1e-05,0.013825,1e-05,0.985847,1e-05,0.000299,0.985847,European
HG00132,GBR,European,kg,,European,yes,yes,1e-05,0.002601,1e-05,0.990051,0.002356,0.004972,0.990051,European
HG00133,GBR,European,kg,,European,yes,yes,1e-05,0.005248,1e-05,0.994712,1e-05,1e-05,0.994712,European
HG00136,GBR,European,kg,,European,yes,yes,1e-05,0.013773,0.001742,0.980166,0.004299,1e-05,0.980166,European
HG00137,GBR,European,kg,,European,yes,yes,1e-05,0.010164,1e-05,0.989796,1e-05,1e-05,0.989796,European
HG00138,GBR,European,kg,,European,yes,yes,0.00117,0.005707,1e-05,0.993093,1e-05,1e-05,0.993093,European
HG00139,GBR,European,kg,,European,yes,yes,1e-05,0.012454,1e-05,0.987506,1e-05,1e-05,0.987506,European
HG00140,GBR,European,kg,,European,yes,yes,1e-05,0.014923,1e-05,0.983829,1e-05,0.001217,0.983829,European
HG00141,GBR,European,kg,,European,yes,yes,1e-05,0.021191,0.001253,0.977526,1e-05,1e-05,0.977526,European
HG00142,GBR,European,kg,,European,yes,yes,1e-05,0.001383,0.007058,0.988543,1e-05,0.002996,0.988543,European
HG00143,GBR,European,kg,,European,yes,yes,1e-05,0.013662,1e-05,0.986298,1e-05,1e-05,0.986298,European
HG00145,GBR,European,kg,,European,yes,yes,1e-05,0.017943,1e-05,0.975946,0.001232,0.004859,0.975946,European
HG00146,GBR,European,kg,,European,yes,yes,1e-05,0.015678,1e-05,0.98397,0.000321,1e-05,0.98397,European
HG00148,GBR,European,kg,,European,yes,yes,1e-05,0.012543,1e-05,0.986598,1e-05,0.000828,0.986598,European
HG00149,GBR,European,kg,,European,yes,yes,1e-05,0.005055,1e-05,0.993728,0.001187,1e-05,0.993728,European
HG00150,GBR,European,kg,,European,yes,yes,1e-05,0.01798,1e-05,0.98198,1e-05,1e-05,0.98198,European
HG00151,GBR,European,kg,,European,yes,yes,1e-05,0.019141,1e-05,0.980819,1e-05,1e-05,0.980819,European
