sample_id,population_id,superpopulation,dataset,country,neural_ancestry
HG00096,GBR,European,kg,,European
HG00097,GBR,European,kg,,European
HG00099,GBR,European,kg,,European
HG00100,GBR,European,kg,,European
HG00101,GBR,European,kg,,European
HG00102,GBR,European,kg,,European
HG00103,GBR,European,kg,,European
HG00105,GBR,European,kg,,European
HG00106,GBR,European,kg,,European
HG00107,GBR,European,kg,,European
HG00108,GBR,European,kg,,European
HG00109,GBR,European,kg,,European
HG00110,GBR,European,kg,,European
HG00111,GBR,European,kg,,European
HG00112,GBR,European,kg,,European
HG00113,GBR,European,kg,,European
HG00114,GBR,European,kg,,European
HG00115,GBR,European,kg,,European
HG00116,GBR,European,kg,,European
HG00117,GBR,European,kg,,European
HG00118,GBR,European,kg,,European
HG00119,GBR,European,kg,,European
HG00120,GBR,European,kg,,European
HG00121,GBR,European,kg,,European
HG00122,GBR,European,kg,,European
HG00123,GBR,European,kg,,European
HG00125,GBR,European,kg,,European
HG00126,GBR,European,kg,,European
HG00127,GBR,European,kg,,European
HG00128,GBR,European,kg,,European
HG00129,GBR,European,kg,,European
HG00130,GBR,European,kg,,European
HG00131,GBR,European,kg,,European
HG00132,GBR,European,kg,,European
HG00133,GBR,European,kg,,European
HG00136,GBR,European,kg,,European
HG00137,GBR,European,kg,,European
HG00138,GBR,European,kg,,European
HG00139,GBR,European,kg,,European
HG00140,GBR,European,kg,,European
HG00141,GBR,European,kg,,European
HG00142,GBR,European,kg,,European
HG00143,GBR,European,kg,,European
HG00145,GBR,European,kg,,European
HG00146,GBR,European,kg,,European
HG00148,GBR,European,kg,,European
HG00149,GBR,European,kg,,European
HG00150,GBR,European,kg,,European
HG00151,GBR,European,kg,,European
HG00154,GBR,European,kg,,European
HG00155,GBR,European,kg,,European
HG00157,GBR,European,kg,,European
HG00158,GBR,European,kg,,European
HG00159,GBR,European,kg,,European
HG00160,GBR,European,kg,,European
HG00171,FIN,European,kg,,European
HG00173,FIN,European,kg,,European
HG00174,FIN,European,kg,,European
HG00176,FIN,European,kg,,European
HG00177,FIN,European,kg,,European
